trip_id,vehicle_id,stop_id,route_id,timestamp,boarded,alighted,current_load,capacity
TRP_0001,VH_005,STOP_07,Route_B,2026-05-26 06:00:00,,-2,99,60
TRP_0002,VH_013,STOP_16,Route_D,2026-05-26 06:04:00,41,4,42,60
TRP_0003,VH_014,STOP_11,Route_B,2026-05-26 06:08:00,36,28,18,60
TRP_0004,VH_008,STOP_10,Route_C,2026-05-26 06:12:00,28,2,41,60
TRP_0005,VH_009,STOP_03,Route_C,2026-05-26 06:16:00,37,3,45,60
TRP_0006,VH_001,STOP_12,Route_C,2026-05-26 06:20:00,29,14,16,60
TRP_0007,VH_008,STOP_19,Route_E,2026-05-26 06:24:00,4,0,16,60
TRP_0008,VH_006,STOP_20,Route_D,2026-05-26 06:28:00,2,1,7,60
TRP_0009,VH_008,STOP_04,Route_C,2026-05-26 06:32:00,32,9,24,60
TRP_0010,VH_001,STOP_08,Route_D,2026-05-26 06:36:00,45,5,45,60
TRP_0011,VH_006,STOP_12,Route_C,2026-05-26 06:40:00,28,16,17,60
TRP_0012,VH_011,STOP_20,Route_A,2026-05-26 06:44:00,24,13,21,60
TRP_0013,VH_006,STOP_04,Route_E,2026-05-26 06:48:00,40,21,21,60
TRP_0014,VH_005,STOP_20,Route_B,2026-05-26 06:52:00,43,24,28,60
TRP_0015,VH_015,STOP_12,Route_C,2026-05-26 06:56:00,21,2,23,60
TRP_0016,VH_010,STOP_03,Route_C,2026-05-26 07:00:00,41,25,20,60
TRP_0017,VH_014,STOP_05,Route_E,2026-05-26 07:04:00,35,24,21,60
TRP_0018,VH_009,STOP_12,Route_A,2026-05-26 07:08:00,5,5,13,60
TRP_0019,VH_004,STOP_11,Route_D,2026-05-26 07:12:00,23,9,19,60
TRP_0020,VH_003,STOP_03,Route_C,2026-05-26 07:16:00,12,3,13,60
TRP_0021,VH_011,STOP_11,Route_E,2026-05-26 07:20:00,6,4,3,60
TRP_0022,VH_003,STOP_06,Route_E,2026-05-26 07:24:00,8,6,6,60
TRP_0023,VH_007,STOP_12,Route_B,2026-05-26 07:28:00,10,7,4,60
TRP_0024,VH_013,STOP_15,Route_B,2026-05-26 07:32:00,28,19,18,60
TRP_0025,VH_013,STOP_16,Route_B,2026-05-26 07:36:00,34,15,28,60
TRP_0026,VH_008,STOP_10,Route_D,2026-05-26 07:40:00,,21,16,60
TRP_0027,VH_014,STOP_07,Route_E,2026-05-26 07:44:00,32,26,11,60
TRP_0028,VH_011,STOP_16,Route_C,2026-05-26 07:48:00,8,4,5,60
TRP_0029,VH_005,STOP_03,Route_B,2026-05-26 07:52:00,35,6,32,60
TRP_0030,VH_014,STOP_14,Route_A,2026-05-26 07:56:00,17,14,7,60
TRP_0031,VH_015,STOP_12,Route_A,2026-05-26 08:00:00,14,13,15,60
TRP_0032,VH_009,STOP_12,Route_B,2026-05-26 08:04:00,26,1,37,60
TRP_0033,VH_004,STOP_01,Route_C,2026-05-26 08:08:00,24,2,33,60
TRP_0034,VH_013,STOP_05,Route_B,2026-05-26 08:12:00,6,6,10,60
TRP_0035,VH_012,STOP_05,Route_D,2026-05-26 08:16:00,2,1,16,60
TRP_0036,VH_015,STOP_03,Route_A,2026-05-26 08:20:00,28,19,9,60
TRP_0037,VH_009,STOP_20,Route_E,2026-05-26 08:24:00,16,6,14,60
TRP_0038,VH_004,STOP_10,Route_A,2026-05-26 08:28:00,27,3,33,60
TRP_0039,VH_011,STOP_20,Route_D,2026-05-26 08:32:00,3,1,15,60
TRP_0040,VH_010,STOP_18,Route_A,2026-05-26 08:36:00,4,0,19,60
TRP_0041,VH_012,STOP_05,Route_C,2026-05-26 08:40:00,40,32,88,60
TRP_0042,VH_010,STOP_14,Route_B,2026-05-26 08:44:00,0,1,6,60
TRP_0043,VH_009,STOP_12,Route_A,2026-05-26 08:48:00,42,42,2,60
TRP_0044,VH_007,STOP_16,Route_A,2026-05-26 08:52:00,33,32,1,60
TRP_0045,VH_005,STOP_01,Route_C,2026-05-26 08:56:00,40,24,27,60
TRP_0046,VH_012,STOP_04,Route_E,2026-05-26 09:00:00,4,2,9,60
TRP_0047,VH_006,STOP_18,Route_C,2026-05-26 09:04:00,21,4,18,60
TRP_0048,VH_012,STOP_16,Route_B,2026-05-26 09:08:00,41,11,44,60
TRP_0049,VH_001,STOP_10,Route_B,2026-05-26 09:12:00,8,1,21,60
TRP_0050,VH_006,STOP_10,Route_E,2026-05-26 09:16:00,2,0,3,60
TRP_0051,VH_005,STOP_02,Route_B,2026-05-26 09:20:00,,17,23,60
TRP_0052,VH_014,STOP_11,Route_C,2026-05-26 09:24:00,18,11,8,60
TRP_0053,VH_015,STOP_13,Route_D,2026-05-26 09:28:00,7,5,15,60
